"iata","name","state","country","latitude","longitude","totalflights","numberofdelays","delaypercentage"
"CMI","University of Illinois-Willard","IL","USA","40.03925","-88.27805556","2774","625","22"
"CMX","Houghton County Memorial","MI","USA","47.16841722","-88.48906083","318","33","10"
"COD","Yellowstone Regional","WY","USA","44.52019417","-109.0237961","1188","80","6"
"COS","City of Colorado Springs Muni","CO","USA","38.80580556","-104.70025","16201","2862","17"
"CPR","Natrona County Intl","WY","USA","42.90835556","-106.4644661","2709","312","11"
"CRP","Corpus Christi International","TX","USA","27.77036083","-97.50121528","5270","759","14"
"CRW","Yeager","WV","USA","38.37315083","-81.59318972","3414","673","19"
"CSG","Columbus Metropolitan","GA","USA","32.51633333","-84.93886111","1481","280","18"
"CVG","Cincinnati Northern Kentucky Intl","KY","USA","39.04614278","-84.6621725","91265","20231","22"
"CWA","Central Wisconsin","WI","USA","44.77761917","-89.66677944","2563","521","20"
"DAB","Daytona Beach International","FL","USA","29.17991667","-81.05805556","2957","675","22"
"DAL","Dallas Love ","TX","USA","32.84711389","-96.85177222","53928","10783","19"
"DAY","James M Cox Dayton Intl","OH","USA","39.90237583","-84.219375","15791","2898","18"
"DBQ","Dubuque Municipal","IA","USA","42.40295944","-90.70916722","1349","275","20"
"DCA","Ronald Reagan Washington National","VA","USA","38.85208333","-77.03772222","86662","16287","18"
"DEN","Denver Intl","CO","USA","39.85840806","-104.6670019","241443","53126","22"
"DFW","Dallas-Fort Worth International","TX","USA","32.89595056","-97.0372","281281","67845","24"
"DHN","Dothan ","AL","USA","31.32133917","-85.44962889","1397","313","22"
"DLG","Dillingham","AK","USA","59.0454125","-158.5033389","116","55","47"
"DLH","Duluth International","MN","USA","46.84209028","-92.19364861","2013","248","12"
"DRO","Durango-La Plata County","CO","USA","37.15151667","-107.7537692","3674","433","11"
"DSM","Des Moines International","IA","USA","41.53493306","-93.66068222","16643","3375","20"
"DTW","Detroit Metropolitan-Wayne County","MI","USA","42.21205889","-83.34883583","161989","39622","24"
"EGE","Eagle County Regional","CO","USA","39.64256778","-106.9176953","3106","752","24"
"EKO","Elko Regional","NV","USA","40.82492611","-115.7916964","1580","140","8"
"ELM","Elmira/Corning Regional","NY","USA","42.15991361","-76.89144333","1336","175","13"
"ELP","El Paso International","TX","USA","31.80666667","-106.3778056","20731","3032","14"
"ERI","Erie Intl","PA","USA","42.08202139","-80.17621556","1399","197","14"
"EUG","Mahlon Sweet ","OR","USA","44.12326","-123.2186856","5749","797","13"
"EVV","Evansville Regional","IN","USA","38.03799139","-87.53062667","5844","970","16"
"EWN","Craven County Regional","NC","USA","35.07297222","-77.04294444","791","172","21"
"EWR","Newark Intl","NJ","USA","40.69249722","-74.16866056","138506","44269","31"
"EYW","Key West International","FL","USA","24.55611111","-81.75955556","1009","317","31"
"FAI","Fairbanks International","AK","USA","64.8136775","-147.8596694","4822","750","15"
"FAR","Hector International","ND","USA","46.91934889","-96.81498889","4431","816","18"
"FAT","Fresno Yosemite International","CA","USA","36.77619444","-119.7181389","14278","2085","14"
"FAY","Fayetteville Municipal","NC","USA","34.99147222","-78.88","2267","555","24"
"FCA","Glacier Park Intl","MT","USA","48.31140472","-114.2550694","2762","301","10"
"FLG","Flagstaff Pulliam","AZ","USA","35.13845472","-111.6712183","1871","220","11"
"FLL","Fort Lauderdale-Hollywood Int'l","FL","USA","26.07258333","-80.15275","67177","15012","22"
"FLO","Florence Regional","SC","USA","34.18536111","-79.72388889","615","112","18"
"FNT","Bishop","MI","USA","42.96550333","-83.74345639","8749","1602","18"
"FSD","Joe Foss ","SD","USA","43.58135111","-96.74170028","5828","1168","20"
"FSM","Fort Smith Regional","AR","USA","35.33659028","-94.36744111","2937","402","13"
"FWA","Fort Wayne International","IN","USA","40.97846583","-85.19514639","6144","1327","21"
"GCC","Gillette-Campbell County","WY","USA","44.34889806","-105.5393614","1046","283","27"
"GEG","Spokane Intl","WA","USA","47.61985556","-117.5338425","15560","2301","14"
"GFK","Grand Forks International","ND","USA","47.949255","-97.17611111","1371","182","13"
"GGG","Gregg County","TX","USA","32.38486111","-94.71171","978","135","13"
"GJT","Walker ","CO","USA","39.1224125","-108.5267347","5152","668","12"
"GNV","Gainesville Regional","FL","USA","29.69005556","-82.27177778","2064","342","16"
"GPT","Gulfport-Biloxi Regional","MS","USA","30.40728028","-89.07009278","8541","1524","17"
"GRB","Austin Straubel International","WI","USA","44.48507333","-88.12959","7930","1625","20"
"GRK","Robert Gray AAF","TX","USA","31.06489778","-97.82779778","3733","698","18"
"GRR","Kent County International","MI","USA","42.88081972","-85.52276778","16616","3292","19"
"GSO","Piedmont Triad International","NC","USA","36.09774694","-79.9372975","13558","2767","20"
"GSP","Greenville-Spartanburg","SC","USA","34.89566722","-82.21885833","11856","2174","18"
"GST","Gustavus","AK","USA","58.42438139","-135.7073814","85","19","22"
"GTF","Great Falls Intl","MT","USA","47.48200194","-111.3706853","2140","194","9"
"GTR","Golden Triangle Regional","MS","USA","33.45033444","-88.59136861","964","188","19"
"GUC","Gunnison County","CO","USA","38.53396333","-106.9331817","959","218","22"
"HDN","Yampa Valley","CO","USA","40.48118028","-107.2176597","2398","550","22"
"HHH","Hilton Head","","USA","32.224384","-80.697629","836","172","20"
"HLN","Helena Regional","MT","USA","46.60681806","-111.9827503","1986","198","9"
"HNL","Honolulu International","HI","USA","21.31869111","-157.9224072","56276","6810","12"
"HOU","William P Hobby","TX","USA","29.64541861","-95.27888889","55933","11626","20"
"HPN","Westchester Cty","NY","USA","41.06695778","-73.70757444","10715","2558","23"
"HRL","Valley International","TX","USA","26.22850611","-97.65439389","4421","757","17"
"HSV","Huntsville International ","AL","USA","34.6404475","-86.77310944","10791","2147","19"
"HTS","Tri-State/Walker-Long ","WV","USA","38.36666667","-82.55802778","158","11","6"
"IAD","Washington Dulles International","VA","USA","38.94453194","-77.45580972","76031","19644","25"
"IAH","George Bush Intercontinental","TX","USA","29.98047222","-95.33972222","185172","38578","20"
"ICT","Wichita Mid-Continent","KS","USA","37.64995889","-97.43304583","14050","2680","19"
"IDA","Idaho Falls Regional","ID","USA","43.51455556","-112.0701667","3103","393","12"
"ILM","Wilmington International","NC","USA","34.27061111","-77.90255556","3397","784","23"
"IND","Indianapolis International","IN","USA","39.71732917","-86.29438417","42750","8239","19"
"IPL","Imperial County","CA","USA","32.83422028","-115.5787456","989","100","10"
"ISP","Long Island - MacArthur","NY","USA","40.7952425","-73.10021194","10183","1667","16"
"ITH","Tompkins Cty ","NY","USA","42.49102778","-76.45844444","132","45","34"
"ITO","Hilo International","HI","USA","19.72026306","-155.0484703","8051","751","9"
"IYK","Inyokern","CA","USA","35.65884306","-117.8295122","958","61","6"
"JAC","Jackson Hole","WY","USA","43.60732417","-110.7377389","3766","792","21"
"JAN","Jackson International","MS","USA","32.31116667","-90.07588889","12609","2136","16"
"JAX","Jacksonville International","FL","USA","30.49405556","-81.68786111","32685","6191","18"
"JFK","John F Kennedy Intl","NY","USA","40.63975111","-73.77892556","118804","34195","28"
"JNU","Juneau International","AK","USA","58.35496194","-134.5762764","4410","1046","23"
"KOA","Kona International At Keahole","HI","USA","19.73876583","-156.0456314","12710","1470","11"
"KTN","Ketchikan International","AK","USA","55.35556861","-131.71374","2380","536","22"
"LAN","Capital City","MI","USA","42.7787","-84.58735806","3693","805","21"
"LAS","McCarran International","NV","USA","36.08036111","-115.1523333","172876","33240","19"
"LAW","Lawton-Ft Sill Regional","OK","USA","34.56771444","-98.41663667","2369","310","13"
"LAX","Los Angeles International","CA","USA","33.94253611","-118.4080744","215608","38047","17"
"LBB","Lubbock International","TX","USA","33.66363889","-101.8227778","8249","1377","16"
"LCH","Lake Charles Regional","LA","USA","30.1260975","-93.22340361","1000","141","14"
"LEX","Blue Grass ","KY","USA","38.03697222","-84.60538889","10344","1852","17"
"LFT","Lafayette Regional","LA","USA","30.20527972","-91.987655","4879","893","18"
"LGA","LaGuardia","NY","USA","40.77724306","-73.87260917","119135","30929","25"
"LGB","Long Beach (Daugherty )","CA","USA","33.81772222","-118.1516111","15443","2351","15"
"LIH","Lihue","HI","USA","21.97598306","-159.3389581","13184","1251","9"
"LIT","Adams ","AR","USA","34.72939611","-92.22424556","15369","3188","20"
"LMT","Klamath Falls International","OR","USA","42.15614361","-121.7332081","511","150","29"
"LNK","Lincoln Municipal","NE","USA","40.85097222","-96.75925","3037","572","18"
"LRD","Laredo International","TX","USA","27.54373861","-99.46154361","2115","331","15"
"LSE","La Crosse Municipal","WI","USA","43.87937972","-91.25653778","2005","427","21"
"LWB","Greenbrier Valley","WV","USA","37.85830556","-80.39947222","185","39","21"
"LWS","Lewiston-Nez Perce County","ID","USA","46.37449806","-117.0153944","652","41","6"
"LYH","Lynchburg Municipal-Preston Glenn ","VA","USA","37.32668528","-79.20043056","625","83","13"
"MAF","Midland International","TX","USA","31.94252778","-102.2019139","6839","1172","17"
"MBS","Mbs International","MI","USA","43.53291472","-84.07964722","2918","497","17"
"MCI","Kansas City International","MO","USA","39.29760528","-94.71390556","59370","11253","18"
"MCN","Middle Georgia Regional","GA","USA","32.69284944","-83.64921083","652","135","20"
"MCO","Orlando International","FL","USA","28.42888889","-81.31602778","130872","25681","19"
"MDT","Harrisburg Intl","PA","USA","40.19349528","-76.76340361","7594","1447","19"
"MDW","Chicago Midway","IL","USA","41.7859825","-87.75242444","87619","17981","20"
"MEI","Key ","MS","USA","32.33313333","-88.75120556","674","151","22"
"MEM","Memphis International","TN","USA","35.04241667","-89.97666667","80966","15344","18"
"MFE","McAllen Miller International","TX","USA","26.17583333","-98.23861111","4116","551","13"
"MFR","Rogue Valley International","OR","USA","42.37422778","-122.8734978","5652","919","16"
"MGM","Montgomery Regional Apt","AL","USA","32.30064417","-86.39397611","3851","768","19"
"MHT","Manchester","NH","USA","42.93451639","-71.43705583","18588","3762","20"
"MIA","Miami International","FL","USA","25.79325","-80.29055556","62559","18212","29"
"MKE","General Mitchell International","WI","USA","42.94722222","-87.89658333","42700","9496","22"
"MKG","Muskegon County","MI","USA","43.16948806","-86.23822306","396","74","18"
"MLB","Melbourne International ","FL","USA","28.10275","-80.64580556","2002","469","23"
"MLI","Quad City","IL","USA","41.44852639","-90.50753917","8567","1744","20"
"MLU","Monroe Regional","LA","USA","32.51086556","-92.03768778","2530","422","16"
"MOB","Mobile Regional","AL","USA","30.69141667","-88.24283333","6348","1189","18"
"MOD","Modesto City-County-Harry Sham ","CA","USA","37.62581722","-120.9544214","2325","515","22"
"MOT","Minot International","ND","USA","48.25937778","-101.2803339","1085","115","10"
"MQT","Marquette County Airport","","USA","46.353639","-87.395361","991","182","18"
"MRY","Monterey Peninsula","CA","USA","36.5869825","-121.8429478","7607","1241","16"
"MSN","Dane County Regional","WI","USA","43.13985778","-89.33751361","13961","2866","20"
"MSO","Missoula International","MT","USA","46.91630556","-114.0905556","3256","342","10"
"MSP","Minneapolis-St Paul Intl","MN","USA","44.88054694","-93.2169225","130289","29063","22"
"MSY","New Orleans International ","LA","USA","29.99338889","-90.25802778","39422","7390","18"
"MTJ","Montrose Regional","CO","USA","38.50886722","-107.8938333","2419","423","17"
"MYR","Myrtle Beach International","SC","USA","33.67975","-78.92833333","5335","971","18"
"OAJ","Albert J Ellis","NC","USA","34.82916444","-77.61213778","1184","227","19"
"OAK","Metropolitan Oakland International","CA","USA","37.72129083","-122.2207167","62535","9005","14"
"OGG","Kahului","HI","USA","20.89864972","-156.4304578","19940","2053","10"
"OKC","Will Rogers World","OK","USA","35.39308833","-97.60073389","25152","4388","17"
"OMA","Eppley Airfield","NE","USA","41.30251861","-95.89417306","27007","5118","18"
"OME","Nome","AK","USA","64.51220222","-165.4452458","1090","173","15"
"ONT","Ontario International","CA","USA","34.056","-117.6011944","35072","5436","15"
"ORD","Chicago O'Hare International","IL","USA","41.979595","-87.90446417","350380","101414","28"
"ORF","Norfolk International","VA","USA","36.89461111","-76.20122222","16458","3140","19"
"OTH","North Bend Muni","OR","USA","43.41713889","-124.2460278","515","204","39"
"OTZ","Ralph Wien Memorial","AK","USA","66.88467694","-162.5985497","1086","178","16"
"OXR","Oxnard","CA","USA","34.20080083","-119.2072164","1292","88","6"
"PBI","Palm Beach International","FL","USA","26.68316194","-80.09559417","27822","5817","20"
"PDX","Portland Intl","OR","USA","45.58872222","-122.5975","57860","8393","14"
"PFN","Panama City-Bay County International","FL","USA","30.21208333","-85.68280556","3875","730","18"
"PHF","Newport News/Williamsburg International","VA","USA","37.13189556","-76.4929875","6406","1258","19"
"PHL","Philadelphia Intl","PA","USA","39.87195278","-75.24114083","100499","24437","24"
"PHX","Phoenix Sky Harbor International","AZ","USA","33.43416667","-112.0080556","199408","34582","17"
"PIA","Greater Peoria Regional","IL","USA","40.66424333","-89.69330556","5581","1098","19"
"PIH","Pocatello Regional","ID","USA","42.91130556","-112.5958611","1659","90","5"
"PIR","Pierre Regional","SD","USA","44.38267694","-100.285965","5","1","20"
"PIT","Pittsburgh International","PA","USA","40.49146583","-80.23287083","41800","9281","22"
"PLN","Pellston Regional  of Emmet County","MI","USA","45.5709275","-84.796715","264","22","8"
"PMD","Palmdale Production Flight","CA","USA","34.62938889","-118.0845528","728","177","24"
"PNS","Pensacola Regional","FL","USA","30.47330556","-87.18744444","9497","1717","18"
"PSC","Tri-Cities","WA","USA","46.26468028","-119.1190292","2541","183","7"
"PSE","Mercedita","PR","USA","18.00830278","-66.56301194","755","76","10"
"PSG","James C. Johnson Petersburg","AK","USA","56.80165194","-132.9452781","727","163","22"
"PSP","Palm Springs International","CA","USA","33.82921556","-116.5062531","11979","2028","16"
"PUB","Pueblo Memorial","CO","USA","38.28908722","-104.4965722","2","2","100"
"PVD","Theodore F Green State","RI","USA","41.72399917","-71.42822111","22509","4417","19"
"PWM","Portland International Jetport","ME","USA","43.64616667","-70.30875","6897","1685","24"
"RAP","Rapid City Regional","SD","USA","44.04532139","-103.0573708","4161","515","12"
"RDD","Redding Municipal","CA","USA","40.50898361","-122.2934019","1682","414","24"
"RDM","Roberts ","OR","USA","44.25406722","-121.1499633","3434","522","15"
"RDU","Raleigh-Durham International","NC","USA","35.87763889","-78.78747222","60179","12593","20"
"RFD","Greater Rockford","IL","USA","42.19536389","-89.09721111","290","46","15"
"RHI","Rhinelander-Oneida County","WI","USA","45.63119306","-89.46745361","221","30","13"
"RIC","Richmond International","VA","USA","37.50516667","-77.31966667","19977","4283","21"
"RKS","Rock Springs-Sweetwater County","WY","USA","41.5942175","-109.0651928","954","187","19"
"RNO","Reno/Tahoe International","NV","USA","39.49857611","-119.7680647","24286","3941","16"
"ROA","Roanoke Regional/ Woodrum ","VA","USA","37.32546833","-79.97542833","3720","725","19"
"ROC","Greater Rochester Int'l","NY","USA","43.11886611","-77.67238389","14264","3328","23"
"ROW","Roswell Industrial Air Center","NM","USA","33.30155556","-104.5305556","961","135","14"
"RST","Rochester International","MN","USA","43.90882639","-92.49798722","3353","749","22"
"RSW","Southwest Florida International","FL","USA","26.53616667","-81.75516667","27136","4932","18"
"SAN","San Diego International-Lindbergh ","CA","USA","32.73355611","-117.1896567","93775","15832","16"
"SAT","San Antonio International","TX","USA","29.53369444","-98.46977778","45270","7724","17"
"SAV","Savannah International","GA","USA","32.12758333","-81.20213889","13774","2989","21"
"SBA","Santa Barbara Municipal","CA","USA","34.42621194","-119.8403733","12568","1912","15"
"SBN","South Bend Regional","IN","USA","41.70895361","-86.31847417","5319","1186","22"
"SBP","San Luis Obispo Co-McChesney ","CA","USA","35.23705806","-120.6423931","5846","855","14"
"SCC","Deadhorse","AK","USA","70.19475583","-148.4651608","727","138","18"
"SCE","University Park","","USA","40.851206","-77.846302","645","100","15"
"SDF","Louisville International-Standiford ","KY","USA","38.17438889","-85.736","22458","4539","20"
"SEA","Seattle-Tacoma Intl","WA","USA","47.44898194","-122.3093131","109069","20297","18"
"SFO","San Francisco International","CA","USA","37.61900194","-122.3748433","140587","33393","23"
"SGF","Springfield-Branson Regional","MO","USA","37.24432611","-93.38685806","10087","2057","20"
"SGU","St George Muni","UT","USA","37.09058333","-113.5930556","3319","249","7"
"SHV","Shreveport Regional","LA","USA","32.4466275","-93.82559833","8079","1362","16"
"SIT","Sitka","AK","USA","57.04713806","-135.3615983","1332","238","17"
"SJC","San Jose International","CA","USA","37.36186194","-121.9290089","57136","7701","13"
"SJT","San Angelo Regional /Mathis ","TX","USA","31.35775","-100.4963056","1316","165","12"
"SJU","Luis Munoz Marin International","PR","USA","18.43941667","-66.00183333","21676","4993","23"
"SLC","Salt Lake City Intl","UT","USA","40.78838778","-111.9777731","139088","20824","14"
"SLE","McNary Fld","OR","USA","44.90952778","-123.0025","486","22","4"
"SMF","Sacramento International","CA","USA","38.69542167","-121.5907669","53056","8025","15"
"SMX","Santa Maria Pub/Capt G Allan Hancock ","CA","USA","34.89924833","-120.4575825","1681","158","9"
"SNA","John Wayne /Orange Co","CA","USA","33.67565861","-117.8682225","47376","7205","15"
"SPI","Capital","IL","USA","39.84395194","-89.67761861","1225","333","27"
"SPS","Sheppard AFB/Wichita Falls Municipal","TX","USA","33.98879611","-98.49189333","1834","207","11"
"SRQ","Sarasota Bradenton International","FL","USA","27.39533333","-82.55411111","6432","1339","20"
"STL","Lambert-St Louis International","MO","USA","38.74768694","-90.35998972","62733","12409","19"
"STT","Cyril E. King","VI","USA","18.33730556","-64.97336111","2972","677","22"
"STX","Henry E. Rohlsen ","VI","USA","17.70188889","-64.79855556","436","134","30"
"SUN","Friedman Memorial","ID","USA","43.50484139","-114.2965903","2871","217","7"
"SUX","Sioux Gateway ","IA","USA","42.40260333","-96.38436694","122","19","15"
"SWF","Stewart","NY","USA","41.50409361","-74.10483833","4249","837","19"
"SYR","Syracuse-Hancock Intl","NY","USA","43.11118694","-76.10631056","12032","2983","24"
"TEX","Telluride Regional","CO","USA","37.95375861","-107.90848","194","56","28"
"TLH","Tallahassee Regional","FL","USA","30.39652778","-84.35033333","5912","1072","18"
"TOL","Toledo Express","OH","USA","41.58680556","-83.80783333","1478","280","18"
"TPA","Tampa International ","FL","USA","27.97547222","-82.53325","78179","14317","18"
"TRI","Tri-Cities Regional","TN","USA","36.47521417","-82.40742056","2117","360","17"
"TUL","Tulsa International","OK","USA","36.19837222","-95.88824167","23459","4031","17"
"TUP","Tupelo Municipal ","MS","USA","34.26810833","-88.769895","10","1","10"
"TUS","Tucson International","AZ","USA","32.11608333","-110.9410278","26661","3829","14"
"TVC","Cherry Capital","MI","USA","44.74144472","-85.582235","4262","877","20"
"TWF","Joslin Field - Magic Valley","ID","USA","42.48180389","-114.4877356","1813","185","10"
"TXK","Texarkana Regional-Webb ","AR","USA","33.45370806","-93.99102","1250","173","13"
"TYR","Tyler Pounds ","TX","USA","32.35413889","-95.40238611","1585","191","12"
"TYS","McGhee-Tyson","TN","USA","35.81248722","-83.99285583","14004","2782","19"
"VLD","Valdosta Regional","GA","USA","30.7825","-83.27672222","938","188","20"
"VPS","Eglin Air Force Base","FL","USA","30.48325","-86.5254","6820","1393","20"
"WRG","Wrangell","AK","USA","56.48432583","-132.3698242","727","139","19"
"WYS","Yellowstone","MT","USA","44.68839917","-111.1176375","264","3","1"
"XNA","Northwest Arkansas Regional","AR","USA","36.28186944","-94.30681111","14112","3075","21"
"YAK","Yakutat","AK","USA","59.50336056","-139.6602261","725","153","21"
"YKM","Yakima Air Terminal","WA","USA","46.56816972","-120.5440594","340","67","19"
"YUM","Yuma MCAS-Yuma International","AZ","USA","32.65658333","-114.6059722","3871","437","11"
"CZN","Chisana","AK","USA","62.07118972","-142.0483742","","",""
"SBU","Blue Earth Municipal","MN","USA","43.59534389","-94.09284833","","",""
"BID","Block Island State","RI","USA","41.16811889","-71.57784167","","",""
"S27","Kalispell City","MT","USA","48.17856944","-114.3037408","","",""
"SD28","McLaughlin Municipal","SD","USA","45.79680833","-100.7842503","","",""
"KVC","King Cove","AK","USA","55.1163475","-162.2662272","","",""
"SYV","Sylvester","GA","USA","31.55851111","-83.89573389","","",""
"K82","Smith Center Municipal","KS","USA","39.76112278","-98.79343639","","",""
"OIN","Oberlin Municipal","KS","USA","39.83378278","-100.5394236","","",""
"FRR","Front Royal-Warren County","VA","USA","38.9175325","-78.25351472","","",""
"ESN","Easton /Newnam ","MD","USA","38.80416667","-76.069","","",""
"1I9","Delphi Municipal","IN","USA","40.54281417","-86.68167194","","",""
"B08","Silver Springs","NV","USA","39.40324917","-119.2518292","","",""
"LND","Hunt ","WY","USA","42.81523611","-108.7298392","","",""
"GEY","South Big Horn County","WY","USA","44.51644444","-108.0831944","","",""
"GMJ","Grove Municipal","OK","USA","36.60527056","-94.73856667","","",""
"AIY","Atlantic City Municipal","NJ","USA","39.36002778","-74.45608333","","",""
"42A","Melbourne Municipal","AR","USA","36.07079222","-91.82914667","","",""
"TTF","Monroe Custer","MI","USA","41.93990639","-83.43468306","","",""
"OSX","Kosciusko-Attala County","MS","USA","33.09025889","-89.54201722","","",""
"5R8","De Quincy Industrial Airpark","LA","USA","30.44117222","-93.47349722","","",""
"2F6","Skiatook Municipal","OK","USA","36.357035","-96.01138556","","",""
"SHR","Sheridan County","WY","USA","44.76919556","-106.9802794","","",""
"BMQ","Burnet Muni-Kate Craddock ","TX","USA","30.73894444","-98.23858333","","",""
"AQH","Kwinhagak","AK","USA","59.75700722","-161.8794789","","",""
"OFP","Hanover County Municipal","VA","USA","37.7080325","-77.43601028","","",""
"BLH","Blythe","CA","USA","33.61916278","-114.7168764","","",""
"JCT","Kimble County","TX","USA","30.51126","-99.76345528","","",""
"CEW","Bob Sikes","FL","USA","30.77883333","-86.52211111","","",""
"CWF","Chennault International ","LA","USA","30.21059167","-93.14318944","","",""
"6N5","E 34th St Heliport","NY","USA","40.74260167","-73.97208306","","",""
"GLE","Gainesville Municipal","TX","USA","33.65136111","-97.19702778","","",""
"CEV","Mettel ","IN","USA","39.69803139","-85.13124528","","",""
"HRU","Herington Municipal","KS","USA","38.68322389","-96.80800639","","",""
"HNB","Huntingburg","IN","USA","38.24902583","-86.95371833","","",""
"LQR","Larned-Pawnee County","KS","USA","38.20809667","-99.08607306","","",""
"03D","Memphis Memorial","MO","USA","40.44725889","-92.22696056","","",""
"O52","Sutter County","CA","USA","39.12655889","-121.6091328","","",""
