iata,name,long,lat,totalflights,numberofdelays,delaypercentage,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,betweenness,outdegree,indegree
CIC,Chico Municipal,39.79538278,-121.8584231,1392.0,331.0,23.0,2976.0,263.0,9459.0,75.0,14464.0,0.0,0.0033112582781456954,0.0033112582781456954
CID,Eastern Iowa ,41.88458833,-91.71087222,9377.0,2045.0,21.0,28579.0,10243.0,57740.0,213.0,44269.0,0.0,0.029801324503311258,0.029801324503311258
CLD,MC Clellan-Palomar Airport,33.127231,-117.278727,2303.0,266.0,11.0,3192.0,267.0,2943.0,54.0,5510.0,0.0,0.006622516556291391,0.006622516556291391
CLE,Cleveland-Hopkins Intl,41.41089417,-81.84939667,65795.0,13564.0,20.0,217695.0,41892.0,302521.0,305.0,248905.0,0.005078859906523481,0.24503311258278146,0.24503311258278146
CLL,Easterwood ,30.58858944,-96.36382417,1367.0,183.0,13.0,3611.0,1362.0,2451.0,0.0,5287.0,0.0,0.006622516556291391,0.006622516556291391
CLT,Charlotte/Douglas International,35.21401111,-80.94312583,126045.0,28598.0,22.0,451844.0,44460.0,600939.0,3447.0,452633.0,0.016352049443426712,0.26490066225165565,0.271523178807947
CMH,Port Columbus Intl,39.99798528,-82.89188278,34157.0,6739.0,19.0,99359.0,26977.0,156532.0,93.0,145525.0,0.00010905535524396907,0.10927152317880795,0.10927152317880795
CMI,University of Illinois-Willard,40.03925,-88.27805556,2774.0,625.0,22.0,14578.0,1749.0,19851.0,0.0,9657.0,5.5543684621520485e-05,0.009933774834437087,0.006622516556291391
CMX,Houghton County Memorial,47.16841722,-88.48906083,318.0,33.0,10.0,2593.0,423.0,511.0,0.0,756.0,0.0,0.0033112582781456954,0.0033112582781456954
COD,Yellowstone Regional,44.52019417,-109.02379609999998,1188.0,80.0,6.0,991.0,732.0,1310.0,65.0,2263.0,0.0,0.006622516556291391,0.006622516556291391
COS,City of Colorado Springs Muni,38.80580556,-104.70025,16201.0,2862.0,17.0,59035.0,9307.0,49595.0,644.0,50005.0,0.0033936974878581083,0.059602649006622516,0.06291390728476821
CPR,Natrona County Intl,42.90835556,-106.46446609999998,2709.0,312.0,11.0,5180.0,1397.0,3623.0,45.0,6878.0,0.0,0.013245033112582781,0.013245033112582781
CRP,Corpus Christi International,27.77036083,-97.50121528,5270.0,759.0,14.0,4715.0,4039.0,9529.0,0.0,26595.0,1.419465557023125e-06,0.013245033112582781,0.013245033112582781
CRW,Yeager,38.37315083,-81.59318972,3414.0,673.0,19.0,12797.0,5328.0,18457.0,15.0,8168.0,0.0,0.019867549668874173,0.016556291390728478
CSG,Columbus Metropolitan,32.51633333,-84.93886111,1481.0,280.0,18.0,7441.0,2225.0,3940.0,12.0,4007.0,0.0,0.0033112582781456954,0.0033112582781456954
CVG,Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,91265.0,20231.0,22.0,352831.0,106871.0,439617.0,629.0,154095.0,0.03935605915038366,0.3708609271523179,0.36423841059602646
CWA,Central Wisconsin,44.77761917,-89.66677944,2563.0,521.0,20.0,7219.0,1322.0,20024.0,98.0,12607.0,0.0,0.013245033112582781,0.016556291390728478
DAB,Daytona Beach International,29.17991667,-81.05805556,2957.0,675.0,22.0,11964.0,3118.0,18378.0,0.0,13715.0,7.9975403166836e-07,0.019867549668874173,0.023178807947019868
DAL,Dallas Love ,32.84711389,-96.85177222,53928.0,10783.0,19.0,126355.0,21544.0,88392.0,406.0,307376.0,0.0004097602661291563,0.059602649006622516,0.059602649006622516
DAY,James M Cox Dayton Intl,39.90237583,-84.219375,15791.0,2898.0,18.0,47808.0,7397.0,69744.0,37.0,56466.0,1.603852016360582e-06,0.052980132450331126,0.052980132450331126
DBQ,Dubuque Municipal,42.40295944,-90.70916722,1349.0,275.0,20.0,1952.0,739.0,8440.0,0.0,7271.0,0.0,0.0033112582781456954,0.0033112582781456954
DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,86662.0,16287.0,18.0,192078.0,48173.0,405994.0,426.0,300095.0,0.0026792730619862237,0.16556291390728478,0.17880794701986755
DEN,Denver Intl,39.85840806,-104.6670019,241443.0,53126.0,22.0,812372.0,83200.0,711259.0,1563.0,1161651.0,0.06515843513538519,0.3973509933774834,0.40397350993377484
DFW,Dallas-Fort Worth International,32.89595056,-97.0372,281281.0,67845.0,24.0,1407402.0,246376.0,913351.0,742.0,1065777.0,0.10728373636220448,0.44370860927152317,0.44370860927152317
DHN,Dothan ,31.32133917,-85.44962889,1397.0,313.0,22.0,9337.0,2906.0,6279.0,25.0,3100.0,0.0,0.0033112582781456954,0.0033112582781456954
DLG,Dillingham,59.0454125,-158.5033389,116.0,55.0,47.0,248.0,0.0,144.0,442.0,1185.0,0.0,0.0033112582781456954,0.006622516556291391
DLH,Duluth International,46.84209028,-92.19364861,2013.0,248.0,12.0,5044.0,2609.0,3305.0,0.0,4292.0,0.0,0.006622516556291391,0.006622516556291391
DRO,Durango-La Plata County,37.15151667,-107.75376920000001,3674.0,433.0,11.0,11387.0,6420.0,4154.0,16.0,5779.0,0.0,0.013245033112582781,0.009933774834437087
DSM,Des Moines International,41.53493306,-93.66068222,16643.0,3375.0,20.0,52677.0,15701.0,76016.0,62.0,83204.0,0.00040851872169332833,0.059602649006622516,0.06291390728476821
DTW,Detroit Metropolitan-Wayne County,42.21205889,-83.34883583,161989.0,39622.0,24.0,767530.0,162116.0,761134.0,2637.0,421369.0,0.06876935137212326,0.39072847682119205,0.3841059602649007
EGE,Eagle County Regional,39.64256778,-106.91769529999999,3106.0,752.0,24.0,17141.0,9043.0,19379.0,0.0,23685.0,5.720240163730267e-06,0.04304635761589404,0.04304635761589404
EKO,Elko Regional,40.82492611,-115.79169640000002,1580.0,140.0,8.0,2332.0,59.0,893.0,194.0,3720.0,0.0,0.0033112582781456954,0.0033112582781456954
ELM,Elmira/Corning Regional,42.15991361,-76.89144333,1336.0,175.0,13.0,2200.0,649.0,2451.0,0.0,7011.0,0.0,0.0033112582781456954,0.0033112582781456954
ELP,El Paso International,31.80666667,-106.37780559999999,20731.0,3032.0,14.0,34198.0,3868.0,29792.0,634.0,87111.0,0.00044275259005429067,0.059602649006622516,0.059602649006622516
ERI,Erie Intl,42.08202139,-80.17621556,1399.0,197.0,14.0,2522.0,122.0,2373.0,36.0,7114.0,0.0,0.006622516556291391,0.0033112582781456954
EUG,Mahlon Sweet ,44.123259999999995,-123.21868559999999,5749.0,797.0,13.0,9412.0,1232.0,23924.0,113.0,20023.0,0.0,0.023178807947019868,0.023178807947019868
EVV,Evansville Regional,38.03799139,-87.53062667,5844.0,970.0,16.0,12972.0,4888.0,21990.0,8.0,25148.0,0.0,0.019867549668874173,0.019867549668874173
EWN,Craven County Regional,35.07297222,-77.04294444,791.0,172.0,21.0,3743.0,1969.0,3149.0,8.0,1658.0,0.0,0.0033112582781456954,0.0033112582781456954
EWR,Newark Intl,40.69249722,-74.16866056,138506.0,44269.0,31.0,730408.0,120036.0,863233.0,3830.0,1144543.0,0.01649355928996716,0.2980132450331126,0.2980132450331126
EYW,Key West International,24.55611111,-81.75955556,1009.0,317.0,31.0,7208.0,4398.0,3977.0,10.0,3351.0,0.0,0.006622516556291391,0.006622516556291391
FAI,Fairbanks International,64.8136775,-147.8596694,4822.0,750.0,15.0,14841.0,1013.0,5537.0,56.0,18189.0,0.003793287194455131,0.019867549668874173,0.016556291390728478
FAR,Hector International,46.91934889,-96.81498889,4431.0,816.0,18.0,7855.0,2485.0,29279.0,8.0,18827.0,6.337855290989078e-05,0.016556291390728478,0.019867549668874173
FAT,Fresno Yosemite International,36.77619444,-119.7181389,14278.0,2085.0,14.0,46889.0,7417.0,44531.0,86.0,27544.0,5.071827235444987e-05,0.039735099337748346,0.033112582781456956
FAY,Fayetteville Municipal,34.99147222,-78.88,2267.0,555.0,24.0,13178.0,5031.0,12367.0,10.0,6723.0,0.0,0.006622516556291391,0.006622516556291391
FCA,Glacier Park Intl,48.31140472,-114.25506940000001,2762.0,301.0,10.0,6506.0,1382.0,6188.0,109.0,5445.0,0.0,0.019867549668874173,0.019867549668874173
FLG,Flagstaff Pulliam,35.13845472,-111.67121829999999,1871.0,220.0,11.0,9827.0,2174.0,3057.0,19.0,0.0,0.0,0.0033112582781456954,0.0033112582781456954
FLL,Fort Lauderdale-Hollywood Int'l,26.07258333,-80.15275,67177.0,15012.0,22.0,174023.0,19706.0,363854.0,1555.0,369351.0,0.005396587018072953,0.18874172185430463,0.18874172185430463
FLO,Florence Regional,34.18536111,-79.72388889,615.0,112.0,18.0,1797.0,915.0,2309.0,20.0,1430.0,0.0,0.0033112582781456954,0.0033112582781456954
FNT,Bishop,42.96550333,-83.74345639,8749.0,1602.0,18.0,24506.0,6135.0,36477.0,92.0,28746.0,0.001419331000158381,0.039735099337748346,0.039735099337748346
FSD,Joe Foss ,43.58135111,-96.74170028,5828.0,1168.0,20.0,14298.0,5617.0,38598.0,0.0,30489.0,3.74002203633144e-05,0.023178807947019868,0.023178807947019868
FSM,Fort Smith Regional,35.33659028,-94.36744111,2937.0,402.0,13.0,7815.0,2570.0,6571.0,5.0,10345.0,0.0,0.009933774834437087,0.009933774834437087
FWA,Fort Wayne International,40.97846583,-85.19514639,6144.0,1327.0,21.0,32493.0,3759.0,39540.0,72.0,25310.0,0.0,0.016556291390728478,0.016556291390728478
GCC,Gillette-Campbell County,44.34889806,-105.5393614,1046.0,283.0,27.0,5085.0,2302.0,3762.0,59.0,4150.0,0.0,0.009933774834437087,0.009933774834437087
GEG,Spokane Intl,47.61985556,-117.5338425,15560.0,2301.0,14.0,37658.0,10263.0,24556.0,384.0,52723.0,5.365424127388261e-05,0.056291390728476824,0.052980132450331126
GFK,Grand Forks International,47.949255,-97.17611111,1371.0,182.0,13.0,6074.0,1048.0,2534.0,26.0,2945.0,0.0,0.0033112582781456954,0.0033112582781456954
GGG,Gregg County,32.38486111,-94.71171,978.0,135.0,13.0,3879.0,909.0,1296.0,0.0,3119.0,0.0,0.0033112582781456954,0.0033112582781456954
GJT,Walker ,39.1224125,-108.5267347,5152.0,668.0,12.0,20080.0,4934.0,6193.0,140.0,10476.0,1.2748768513587919e-05,0.023178807947019868,0.013245033112582781
GNV,Gainesville Regional,29.69005556,-82.27177778,2064.0,342.0,16.0,9245.0,3351.0,9939.0,0.0,3342.0,0.0,0.0033112582781456954,0.0033112582781456954
GPT,Gulfport-Biloxi Regional,30.40728028,-89.07009278,8541.0,1524.0,17.0,25716.0,6125.0,32113.0,37.0,36717.0,0.0,0.023178807947019868,0.023178807947019868
GRB,Austin Straubel International,44.48507333,-88.12959000000001,7930.0,1625.0,20.0,21481.0,7516.0,46694.0,25.0,45630.0,0.00052686378042857,0.03642384105960265,0.026490066225165563
GRK,Robert Gray AAF,31.06489778,-97.82779778,3733.0,698.0,18.0,12174.0,3222.0,8576.0,20.0,18786.0,0.0,0.009933774834437087,0.009933774834437087
GRR,Kent County International,42.88081972,-85.52276778,16616.0,3292.0,19.0,52075.0,15190.0,82313.0,448.0,68014.0,0.0008136393307740611,0.04966887417218543,0.052980132450331126
GSO,Piedmont Triad International,36.09774694,-79.9372975,13558.0,2767.0,20.0,52354.0,9633.0,70411.0,206.0,45775.0,1.4785431467689716e-06,0.06291390728476821,0.052980132450331126
GSP,Greenville-Spartanburg,34.89566722,-82.21885833,11856.0,2174.0,18.0,33156.0,7703.0,58311.0,62.0,48111.0,9.285002434225106e-07,0.04304635761589404,0.039735099337748346
GST,Gustavus,58.42438139,-135.7073814,85.0,19.0,22.0,39.0,0.0,113.0,24.0,636.0,0.0,0.0033112582781456954,0.0033112582781456954
GTF,Great Falls Intl,47.48200194,-111.37068529999999,2140.0,194.0,9.0,2883.0,153.0,2478.0,0.0,5561.0,1.702077206466549e-05,0.016556291390728478,0.016556291390728478
GTR,Golden Triangle Regional,33.45033444,-88.59136861,964.0,188.0,19.0,4626.0,1120.0,5639.0,2.0,2486.0,0.0,0.0033112582781456954,0.0033112582781456954
GUC,Gunnison County,38.53396333,-106.9331817,959.0,218.0,22.0,5459.0,3165.0,2798.0,46.0,6707.0,0.0,0.016556291390728478,0.016556291390728478
HDN,Yampa Valley,40.48118028,-107.21765970000001,2398.0,550.0,22.0,9897.0,2948.0,11216.0,17.0,17045.0,6.543900661172316e-06,0.033112582781456956,0.033112582781456956
HHH,Hilton Head,32.224384,-80.697629,836.0,172.0,20.0,6038.0,2843.0,3320.0,31.0,2294.0,0.0,0.0033112582781456954,0.0033112582781456954
HLN,Helena Regional,46.60681806,-111.9827503,1986.0,198.0,9.0,4273.0,658.0,2440.0,44.0,3650.0,0.0,0.009933774834437087,0.009933774834437087
HNL,Honolulu International,21.31869111,-157.92240719999998,56276.0,6810.0,12.0,209488.0,4303.0,45172.0,999.0,89484.0,0.005117438740266624,0.07947019867549669,0.07947019867549669
HOU,William P Hobby,29.64541861,-95.27888889,55933.0,11626.0,20.0,150114.0,25272.0,92702.0,261.0,347428.0,0.0015535761128212364,0.10596026490066225,0.10927152317880795
HPN,Westchester Cty,41.06695778,-73.70757444,10715.0,2558.0,23.0,32876.0,10945.0,72786.0,117.0,52896.0,2.1370011007774035e-05,0.033112582781456956,0.033112582781456956
HRL,Valley International,26.22850611,-97.65439389,4421.0,757.0,17.0,4273.0,1050.0,4641.0,0.0,30204.0,1.998458086861505e-06,0.016556291390728478,0.016556291390728478
HSV,Huntsville International ,34.6404475,-86.77310944,10791.0,2147.0,19.0,32135.0,12766.0,38583.0,106.0,43841.0,7.999424537953443e-06,0.04966887417218543,0.04304635761589404
HTS,Tri-State/Walker-Long ,38.36666667,-82.55802778,158.0,11.0,6.0,284.0,186.0,126.0,0.0,0.0,0.0,0.0033112582781456954,0.0033112582781456954
IAD,Washington Dulles International,38.94453194,-77.45580972,76031.0,19644.0,25.0,535116.0,65179.0,370377.0,3563.0,326522.0,0.007696964652453864,0.23509933774834438,0.22847682119205298
IAH,George Bush Intercontinental,29.98047222,-95.33972222,185172.0,38578.0,20.0,650808.0,152584.0,685764.0,12020.0,668663.0,0.059574650373151516,0.3741721854304636,0.3708609271523179
ICT,Wichita Mid-Continent,37.64995889,-97.43304583,14050.0,2680.0,19.0,41754.0,10389.0,68930.0,36.0,55920.0,5.627117493572606e-06,0.046357615894039736,0.033112582781456956
IDA,Idaho Falls Regional,43.51455556,-112.07016670000002,3103.0,393.0,12.0,6713.0,3354.0,3222.0,21.0,10014.0,0.0,0.009933774834437087,0.009933774834437087
ILM,Wilmington International,34.27061111,-77.90255556,3397.0,784.0,23.0,16226.0,5975.0,15628.0,2.0,9075.0,0.0,0.013245033112582781,0.009933774834437087
IND,Indianapolis International,39.71732917,-86.29438417,42750.0,8239.0,19.0,103233.0,16881.0,204335.0,415.0,159034.0,0.000309892044452563,0.12582781456953643,0.12251655629139073
IPL,Imperial County,32.83422028,-115.5787456,989.0,100.0,10.0,1579.0,355.0,555.0,79.0,1755.0,0.0,0.006622516556291391,0.006622516556291391
ISP,Long Island - MacArthur,40.7952425,-73.10021194,10183.0,1667.0,16.0,21364.0,6619.0,18763.0,1915.0,41233.0,5.726473987923994e-06,0.029801324503311258,0.029801324503311258
ITH,Tompkins Cty ,42.49102778,-76.45844444,132.0,45.0,34.0,162.0,537.0,1036.0,99.0,151.0,0.0,0.0033112582781456954,0.0033112582781456954
ITO,Hilo International,19.72026306,-155.04847030000002,8051.0,751.0,9.0,19038.0,1008.0,2875.0,92.0,11641.0,0.0,0.009933774834437087,0.006622516556291391
IYK,Inyokern,35.65884306,-117.8295122,958.0,61.0,6.0,1606.0,251.0,483.0,32.0,1318.0,0.0,0.0033112582781456954,0.0033112582781456954
JAC,Jackson Hole,43.60732417,-110.7377389,3766.0,792.0,21.0,14524.0,5313.0,11950.0,7.0,23469.0,0.0,0.026490066225165563,0.026490066225165563
JAN,Jackson International,32.31116667,-90.07588889,12609.0,2136.0,16.0,36922.0,10884.0,34457.0,95.0,51402.0,2.8810117055476305e-05,0.04304635761589404,0.04304635761589404
JAX,Jacksonville International,30.49405556,-81.68786111,32685.0,6191.0,18.0,67492.0,17563.0,140647.0,120.0,148491.0,0.0034564340884064124,0.10927152317880795,0.12582781456953643
JFK,John F Kennedy Intl,40.63975111,-73.77892556,118804.0,34195.0,28.0,589276.0,160616.0,920999.0,2877.0,573116.0,0.010548467789107683,0.2185430463576159,0.2251655629139073
JNU,Juneau International,58.35496194,-134.57627639999998,4410.0,1046.0,23.0,20129.0,2900.0,6968.0,105.0,37383.0,0.01831326887987506,0.023178807947019868,0.023178807947019868
KOA,Kona International At Keahole,19.73876583,-156.0456314,12710.0,1470.0,11.0,35088.0,525.0,12486.0,109.0,33254.0,0.000533169348073191,0.039735099337748346,0.03642384105960265
KTN,Ketchikan International,55.35556861,-131.71374,2380.0,536.0,22.0,5671.0,2018.0,3570.0,64.0,19729.0,0.0064578703805563496,0.013245033112582781,0.013245033112582781
