"iata","name","latitude","longitude","totalflights","numberofdelays","delaypercentage","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"CLT","Charlotte/Douglas International","35.21401111","-80.94312583","126045","28598","22","451844","44460","600939","3447","452633"
"CMH","Port Columbus Intl","39.99798528","-82.89188278","34157","6739","19","99359","26977","156532","93","145525"
"CMI","University of Illinois-Willard","40.03925","-88.27805556","2774","625","22","14578","1749","19851","0","9657"
"CMX","Houghton County Memorial","47.16841722","-88.48906083","318","33","10","2593","423","511","0","756"
"COD","Yellowstone Regional","44.52019417","-109.0237961","1188","80","6","991","732","1310","65","2263"
"COS","City of Colorado Springs Muni","38.80580556","-104.70025","16201","2862","17","59035","9307","49595","644","50005"
"CPR","Natrona County Intl","42.90835556","-106.4644661","2709","312","11","5180","1397","3623","45","6878"
"CRP","Corpus Christi International","27.77036083","-97.50121528","5270","759","14","4715","4039","9529","0","26595"
"CRW","Yeager","38.37315083","-81.59318972","3414","673","19","12797","5328","18457","15","8168"
"CSG","Columbus Metropolitan","32.51633333","-84.93886111","1481","280","18","7441","2225","3940","12","4007"
"CVG","Cincinnati Northern Kentucky Intl","39.04614278","-84.6621725","91265","20231","22","352831","106871","439617","629","154095"
"CWA","Central Wisconsin","44.77761917","-89.66677944","2563","521","20","7219","1322","20024","98","12607"
"DAB","Daytona Beach International","29.17991667","-81.05805556","2957","675","22","11964","3118","18378","0","13715"
"DAL","Dallas Love ","32.84711389","-96.85177222","53928","10783","19","126355","21544","88392","406","307376"
"DAY","James M Cox Dayton Intl","39.90237583","-84.219375","15791","2898","18","47808","7397","69744","37","56466"
"DBQ","Dubuque Municipal","42.40295944","-90.70916722","1349","275","20","1952","739","8440","0","7271"
"DCA","Ronald Reagan Washington National","38.85208333","-77.03772222","86662","16287","18","192078","48173","405994","426","300095"
"DEN","Denver Intl","39.85840806","-104.6670019","241443","53126","22","812372","83200","711259","1563","1161651"
"DFW","Dallas-Fort Worth International","32.89595056","-97.0372","281281","67845","24","1407402","246376","913351","742","1065777"
"DHN","Dothan ","31.32133917","-85.44962889","1397","313","22","9337","2906","6279","25","3100"
"DLG","Dillingham","59.0454125","-158.5033389","116","55","47","248","0","144","442","1185"
"DLH","Duluth International","46.84209028","-92.19364861","2013","248","12","5044","2609","3305","0","4292"
"DRO","Durango-La Plata County","37.15151667","-107.7537692","3674","433","11","11387","6420","4154","16","5779"
"DSM","Des Moines International","41.53493306","-93.66068222","16643","3375","20","52677","15701","76016","62","83204"
"DTW","Detroit Metropolitan-Wayne County","42.21205889","-83.34883583","161989","39622","24","767530","162116","761134","2637","421369"
"EGE","Eagle County Regional","39.64256778","-106.9176953","3106","752","24","17141","9043","19379","0","23685"
"EKO","Elko Regional","40.82492611","-115.7916964","1580","140","8","2332","59","893","194","3720"
"ELM","Elmira/Corning Regional","42.15991361","-76.89144333","1336","175","13","2200","649","2451","0","7011"
"ELP","El Paso International","31.80666667","-106.3778056","20731","3032","14","34198","3868","29792","634","87111"
"ERI","Erie Intl","42.08202139","-80.17621556","1399","197","14","2522","122","2373","36","7114"
"EUG","Mahlon Sweet ","44.12326","-123.2186856","5749","797","13","9412","1232","23924","113","20023"
"EVV","Evansville Regional","38.03799139","-87.53062667","5844","970","16","12972","4888","21990","8","25148"
"EWN","Craven County Regional","35.07297222","-77.04294444","791","172","21","3743","1969","3149","8","1658"
"EWR","Newark Intl","40.69249722","-74.16866056","138506","44269","31","730408","120036","863233","3830","1144543"
"EYW","Key West International","24.55611111","-81.75955556","1009","317","31","7208","4398","3977","10","3351"
"FAI","Fairbanks International","64.8136775","-147.8596694","4822","750","15","14841","1013","5537","56","18189"
"FAR","Hector International","46.91934889","-96.81498889","4431","816","18","7855","2485","29279","8","18827"
"FAT","Fresno Yosemite International","36.77619444","-119.7181389","14278","2085","14","46889","7417","44531","86","27544"
"FAY","Fayetteville Municipal","34.99147222","-78.88","2267","555","24","13178","5031","12367","10","6723"
"FCA","Glacier Park Intl","48.31140472","-114.2550694","2762","301","10","6506","1382","6188","109","5445"
"FLG","Flagstaff Pulliam","35.13845472","-111.6712183","1871","220","11","9827","2174","3057","19","0"
"FLL","Fort Lauderdale-Hollywood Int'l","26.07258333","-80.15275","67177","15012","22","174023","19706","363854","1555","369351"
"FLO","Florence Regional","34.18536111","-79.72388889","615","112","18","1797","915","2309","20","1430"
"FNT","Bishop","42.96550333","-83.74345639","8749","1602","18","24506","6135","36477","92","28746"
"FSD","Joe Foss ","43.58135111","-96.74170028","5828","1168","20","14298","5617","38598","0","30489"
"FSM","Fort Smith Regional","35.33659028","-94.36744111","2937","402","13","7815","2570","6571","5","10345"
"FWA","Fort Wayne International","40.97846583","-85.19514639","6144","1327","21","32493","3759","39540","72","25310"
"GCC","Gillette-Campbell County","44.34889806","-105.5393614","1046","283","27","5085","2302","3762","59","4150"
"GEG","Spokane Intl","47.61985556","-117.5338425","15560","2301","14","37658","10263","24556","384","52723"
"GFK","Grand Forks International","47.949255","-97.17611111","1371","182","13","6074","1048","2534","26","2945"
"GGG","Gregg County","32.38486111","-94.71171","978","135","13","3879","909","1296","0","3119"
"GJT","Walker ","39.1224125","-108.5267347","5152","668","12","20080","4934","6193","140","10476"
"GNV","Gainesville Regional","29.69005556","-82.27177778","2064","342","16","9245","3351","9939","0","3342"
"GPT","Gulfport-Biloxi Regional","30.40728028","-89.07009278","8541","1524","17","25716","6125","32113","37","36717"
"GRB","Austin Straubel International","44.48507333","-88.12959","7930","1625","20","21481","7516","46694","25","45630"
"GRK","Robert Gray AAF","31.06489778","-97.82779778","3733","698","18","12174","3222","8576","20","18786"
"GRR","Kent County International","42.88081972","-85.52276778","16616","3292","19","52075","15190","82313","448","68014"
"GSO","Piedmont Triad International","36.09774694","-79.9372975","13558","2767","20","52354","9633","70411","206","45775"
"GSP","Greenville-Spartanburg","34.89566722","-82.21885833","11856","2174","18","33156","7703","58311","62","48111"
"GST","Gustavus","58.42438139","-135.7073814","85","19","22","39","0","113","24","636"
"GTF","Great Falls Intl","47.48200194","-111.3706853","2140","194","9","2883","153","2478","0","5561"
"GTR","Golden Triangle Regional","33.45033444","-88.59136861","964","188","19","4626","1120","5639","2","2486"
"GUC","Gunnison County","38.53396333","-106.9331817","959","218","22","5459","3165","2798","46","6707"
"HDN","Yampa Valley","40.48118028","-107.2176597","2398","550","22","9897","2948","11216","17","17045"
"HHH","Hilton Head","32.224384","-80.697629","836","172","20","6038","2843","3320","31","2294"
"HLN","Helena Regional","46.60681806","-111.9827503","1986","198","9","4273","658","2440","44","3650"
"HNL","Honolulu International","21.31869111","-157.9224072","56276","6810","12","209488","4303","45172","999","89484"
"HOU","William P Hobby","29.64541861","-95.27888889","55933","11626","20","150114","25272","92702","261","347428"
"HPN","Westchester Cty","41.06695778","-73.70757444","10715","2558","23","32876","10945","72786","117","52896"
"HRL","Valley International","26.22850611","-97.65439389","4421","757","17","4273","1050","4641","0","30204"
"HSV","Huntsville International ","34.6404475","-86.77310944","10791","2147","19","32135","12766","38583","106","43841"
"HTS","Tri-State/Walker-Long ","38.36666667","-82.55802778","158","11","6","284","186","126","0","0"
"IAD","Washington Dulles International","38.94453194","-77.45580972","76031","19644","25","535116","65179","370377","3563","326522"
"IAH","George Bush Intercontinental","29.98047222","-95.33972222","185172","38578","20","650808","152584","685764","12020","668663"
"ICT","Wichita Mid-Continent","37.64995889","-97.43304583","14050","2680","19","41754","10389","68930","36","55920"
"IDA","Idaho Falls Regional","43.51455556","-112.0701667","3103","393","12","6713","3354","3222","21","10014"
"ILM","Wilmington International","34.27061111","-77.90255556","3397","784","23","16226","5975","15628","2","9075"
"IND","Indianapolis International","39.71732917","-86.29438417","42750","8239","19","103233","16881","204335","415","159034"
"IPL","Imperial County","32.83422028","-115.5787456","989","100","10","1579","355","555","79","1755"
"ISP","Long Island - MacArthur","40.7952425","-73.10021194","10183","1667","16","21364","6619","18763","1915","41233"
"ITH","Tompkins Cty ","42.49102778","-76.45844444","132","45","34","162","537","1036","99","151"
"ITO","Hilo International","19.72026306","-155.0484703","8051","751","9","19038","1008","2875","92","11641"
"IYK","Inyokern","35.65884306","-117.8295122","958","61","6","1606","251","483","32","1318"
"JAC","Jackson Hole","43.60732417","-110.7377389","3766","792","21","14524","5313","11950","7","23469"
"JAN","Jackson International","32.31116667","-90.07588889","12609","2136","16","36922","10884","34457","95","51402"
"JAX","Jacksonville International","30.49405556","-81.68786111","32685","6191","18","67492","17563","140647","120","148491"
"JFK","John F Kennedy Intl","40.63975111","-73.77892556","118804","34195","28","589276","160616","920999","2877","573116"
"JNU","Juneau International","58.35496194","-134.5762764","4410","1046","23","20129","2900","6968","105","37383"
"KOA","Kona International At Keahole","19.73876583","-156.0456314","12710","1470","11","35088","525","12486","109","33254"
"KTN","Ketchikan International","55.35556861","-131.71374","2380","536","22","5671","2018","3570","64","19729"
"LAN","Capital City","42.7787","-84.58735806","3693","805","21","10562","1998","28694","48","16945"
"LAS","McCarran International","36.08036111","-115.1523333","172876","33240","19","451475","46749","373191","3899","934938"
"LAW","Lawton-Ft Sill Regional","34.56771444","-98.41663667","2369","310","13","5725","2998","2920","15","8495"
"LAX","Los Angeles International","33.94253611","-118.4080744","215608","38047","17","680050","32884","494408","4154","821360"
"LBB","Lubbock International","33.66363889","-101.8227778","8249","1377","16","14017","8669","9027","40","45321"
"LCH","Lake Charles Regional","30.1260975","-93.22340361","1000","141","14","4507","2379","2744","83","2181"
"LEX","Blue Grass ","38.03697222","-84.60538889","10344","1852","17","31278","8208","63817","103","32239"
"LFT","Lafayette Regional","30.20527972","-91.987655","4879","893","18","14564","8432","19367","25","19492"
"LGA","LaGuardia","40.77724306","-73.87260917","119135","30929","25","315310","144654","618979","542","777834"
"LGB","Long Beach (Daugherty )","33.81772222","-118.1516111","15443","2351","15","44361","2573","40504","231","53281"
"LIH","Lihue","21.97598306","-159.3389581","13184","1251","9","26414","1177","7443","87","27510"
"LIT","Adams ","34.72939611","-92.22424556","15369","3188","20","54708","13873","47579","93","88988"
"LMT","Klamath Falls International","42.15614361","-121.7332081","511","150","29","2435","277","5748","0","3724"
"LNK","Lincoln Municipal","40.85097222","-96.75925","3037","572","18","4080","1225","25923","89","16347"
"LRD","Laredo International","27.54373861","-99.46154361","2115","331","15","4991","931","5397","1","9276"
"LSE","La Crosse Municipal","43.87937972","-91.25653778","2005","427","21","3853","134","11748","0","10893"
"LWB","Greenbrier Valley","37.85830556","-80.39947222","185","39","21","938","175","963","0","441"
"LWS","Lewiston-Nez Perce County","46.37449806","-117.0153944","652","41","6","844","505","374","16","1087"
"LYH","Lynchburg Municipal-Preston Glenn ","37.32668528","-79.20043056","625","83","13","1789","411","2103","0","512"
"MAF","Midland International","31.94252778","-102.2019139","6839","1172","17","11180","4579","12905","108","39677"
"MBS","Mbs International","43.53291472","-84.07964722","2918","497","17","8969","758","19410","0","11854"
"MCI","Kansas City International","39.29760528","-94.71390556","59370","11253","18","139813","30763","180163","344","297546"
"MCN","Middle Georgia Regional","32.69284944","-83.64921083","652","135","20","5540","1218","2161","39","111"
"MCO","Orlando International","28.42888889","-81.31602778","130872","25681","19","307651","56355","511029","1991","649471"
"MDT","Harrisburg Intl","40.19349528","-76.76340361","7594","1447","19","31714","7834","35662","90","29225"
"MDW","Chicago Midway","41.7859825","-87.75242444","87619","17981","20","246727","77214","200516","1552","525662"
"MEI","Key ","32.33313333","-88.75120556","674","151","22","3698","586","4355","71","1061"
"MEM","Memphis International","35.04241667","-89.97666667","80966","15344","18","302791","67237","282129","908","229858"
"MFE","McAllen Miller International","26.17583333","-98.23861111","4116","551","13","6582","1843","12096","0","14890"
"MFR","Rogue Valley International","42.37422778","-122.8734978","5652","919","16","15687","1870","31633","121","17051"
"MGM","Montgomery Regional Apt","32.30064417","-86.39397611","3851","768","19","15712","5201","17199","0","8207"
"MHT","Manchester","42.93451639","-71.43705583","18588","3762","20","44836","19284","95604","335","86921"
"MIA","Miami International","25.79325","-80.29055556","62559","18212","29","408746","76210","297080","902","317552"
"MKE","General Mitchell International","42.94722222","-87.89658333","42700","9496","22","144045","42436","234943","95","176703"
"MKG","Muskegon County","43.16948806","-86.23822306","396","74","18","1240","598","797","0","1026"
"MLB","Melbourne International ","28.10275","-80.64580556","2002","469","23","7625","1084","11071","146","6698"
"MLI","Quad City","41.44852639","-90.50753917","8567","1744","20","26067","7289","48460","93","42862"
"MLU","Monroe Regional","32.51086556","-92.03768778","2530","422","16","9426","3685","7799","20","5386"
"MOB","Mobile Regional","30.69141667","-88.24283333","6348","1189","18","18809","7998","24375","12","21024"
"MOD","Modesto City-County-Harry Sham ","37.62581722","-120.9544214","2325","515","22","4445","425","15595","95","13989"
"MOT","Minot International","48.25937778","-101.2803339","1085","115","10","5684","898","1954","0","2369"
"MQT","Marquette County Airport","46.353639","-87.395361","991","182","18","10534","857","3793","0","731"
"MRY","Monterey Peninsula","36.5869825","-121.8429478","7607","1241","16","20926","1841","30986","101","26401"
"MSN","Dane County Regional","43.13985778","-89.33751361","13961","2866","20","35789","8587","88186","156","62882"
"MSO","Missoula International","46.91630556","-114.0905556","3256","342","10","3020","286","5113","23","8867"
"MSP","Minneapolis-St Paul Intl","44.88054694","-93.2169225","130289","29063","22","501041","120181","555709","375","299183"
"MSY","New Orleans International ","29.99338889","-90.25802778","39422","7390","18","77835","11022","140925","540","193995"
"MTJ","Montrose Regional","38.50886722","-107.8938333","2419","423","17","7593","1668","3892","151","12822"
"MYR","Myrtle Beach International","33.67975","-78.92833333","5335","971","18","19084","3393","23485","0","16091"
"OAJ","Albert J Ellis","34.82916444","-77.61213778","1184","227","19","5433","2203","5665","0","2803"
"OAK","Metropolitan Oakland International","37.72129083","-122.2207167","62535","9005","14","118161","9460","52272","1478","241579"
"OGG","Kahului","20.89864972","-156.4304578","19940","2053","10","52638","819","14644","134","48277"
"OKC","Will Rogers World","35.39308833","-97.60073389","25152","4388","17","64401","13028","69311","348","115492"
"OMA","Eppley Airfield","41.30251861","-95.89417306","27007","5118","18","72633","18455","109494","667","122722"
"OME","Nome","64.51220222","-165.4452458","1090","173","15","1025","397","783","138","6789"
"ONT","Ontario International","34.056","-117.6011944","35072","5436","15","70776","3742","55114","709","144512"
"ORD","Chicago O'Hare International","41.979595","-87.90446417","350380","101414","28","1763840","416984","1563100","2382","2882794"
"ORF","Norfolk International","36.89461111","-76.20122222","16458","3140","19","56019","11859","68005","191","68314"
"OTH","North Bend Muni","43.41713889","-124.2460278","515","204","39","746","164","6126","7","6232"
"OTZ","Ralph Wien Memorial","66.88467694","-162.5985497","1086","178","16","872","688","496","176","6681"
"OXR","Oxnard","34.20080083","-119.2072164","1292","88","6","1407","290","637","0","1762"
"PBI","Palm Beach International","26.68316194","-80.09559417","27822","5817","20","62700","5514","163719","32","146621"
"PDX","Portland Intl","45.58872222","-122.5975","57860","8393","14","142251","18241","101192","551","200770"
"PFN","Panama City-Bay County International","30.21208333","-85.68280556","3875","730","18","20674","6201","12988","0","13409"
"PHF","Newport News/Williamsburg International","37.13189556","-76.4929875","6406","1258","19","15186","3392","35282","1","26595"
"PHL","Philadelphia Intl","39.87195278","-75.24114083","100499","24437","24","327588","64177","474641","2693","706048"
"PHX","Phoenix Sky Harbor International","33.43416667","-112.0080556","199408","34582","17","662329","43723","399336","4988","617435"
"PIA","Greater Peoria Regional","40.66424333","-89.69330556","5581","1098","19","15913","2676","40627","35","21614"
"PIH","Pocatello Regional","42.91130556","-112.5958611","1659","90","5","878","702","559","4","3020"
"PIR","Pierre Regional","44.38267694","-100.285965","5","1","20","99","0","19","0","0"
"PIT","Pittsburgh International","40.49146583","-80.23287083","41800","9281","22","110755","31392","212488","513","198564"
"PLN","Pellston Regional  of Emmet County","45.5709275","-84.796715","264","22","8","1673","38","286","20","117"
"PMD","Palmdale Production Flight","34.62938889","-118.0845528","728","177","24","1686","0","7956","35","3049"
"PNS","Pensacola Regional","30.47330556","-87.18744444","9497","1717","18","18988","5151","30077","0","49877"
"PSC","Tri-Cities","46.26468028","-119.1190292","2541","183","7","2011","552","1843","37","5467"
"PSE","Mercedita","18.00830278","-66.56301194","755","76","10","462","103","774","70","3540"
"PSG","James C. Johnson Petersburg","56.80165194","-132.9452781","727","163","22","1392","347","775","36","8239"
"PSP","Palm Springs International","33.82921556","-116.5062531","11979","2028","16","42323","2621","30748","65","37160"
"PUB","Pueblo Memorial","38.28908722","-104.4965722","2","2","100","0","54","94","0","0"
"PVD","Theodore F Green State","41.72399917","-71.42822111","22509","4417","19","45172","21788","121486","277","97259"
"PWM","Portland International Jetport","43.64616667","-70.30875","6897","1685","24","30535","7119","57643","30","28785"
"RAP","Rapid City Regional","44.04532139","-103.0573708","4161","515","12","6822","2146","7860","0","11045"
"RDD","Redding Municipal","40.50898361","-122.2934019","1682","414","24","2132","222","21357","216","8432"
"RDM","Roberts ","44.25406722","-121.1499633","3434","522","15","7521","1442","15929","13","8234"
"RDU","Raleigh-Durham International","35.87763889","-78.78747222","60179","12593","20","165608","32970","306883","164","263571"
"RFD","Greater Rockford","42.19536389","-89.09721111","290","46","15","1371","0","243","0","1173"
"RHI","Rhinelander-Oneida County","45.63119306","-89.46745361","221","30","13","556","171","461","0","809"
"RIC","Richmond International","37.50516667","-77.31966667","19977","4283","21","61953","13830","126951","86","81915"
"RKS","Rock Springs-Sweetwater County","41.5942175","-109.0651928","954","187","19","3446","1121","2156","43","2740"
"RNO","Reno/Tahoe International","39.49857611","-119.7680647","24286","3941","16","41567","6504","49247","59","120007"
"ROA","Roanoke Regional/ Woodrum ","37.32546833","-79.97542833","3720","725","19","14977","2814","22320","214","12936"
"ROC","Greater Rochester Int'l","43.11886611","-77.67238389","14264","3328","23","39176","10276","110933","83","69450"
"ROW","Roswell Industrial Air Center","33.30155556","-104.5305556","961","135","14","3746","1241","809","8","3058"
"RST","Rochester International","43.90882639","-92.49798722","3353","749","22","4642","596","20570","0","23574"
"RSW","Southwest Florida International","26.53616667","-81.75516667","27136","4932","18","59055","5677","129446","238","123013"
"SAN","San Diego International-Lindbergh ","32.73355611","-117.1896567","93775","15832","16","169765","20879","209736","2812","429178"
"SAT","San Antonio International","29.53369444","-98.46977778","45270","7724","17","98506","14606","134096","1126","180820"
"SAV","Savannah International","32.12758333","-81.20213889","13774","2989","21","54029","8726","78238","189","50595"
"SBA","Santa Barbara Municipal","34.42621194","-119.8403733","12568","1912","15","29180","4131","54914","820","34761"
"SBN","South Bend Regional","41.70895361","-86.31847417","5319","1186","22","31969","6392","33543","72","21125"
"SBP","San Luis Obispo Co-McChesney ","35.23705806","-120.6423931","5846","855","14","14365","1909","28859","0","15831"
"SCC","Deadhorse","70.19475583","-148.4651608","727","138","18","1098","1430","415","278","5333"
"SCE","University Park","40.851206","-77.846302","645","100","15","2658","1206","1959","8","623"
"SDF","Louisville International-Standiford ","38.17438889","-85.736","22458","4539","20","64772","19751","114579","346","111324"
"SEA","Seattle-Tacoma Intl","47.44898194","-122.3093131","109069","20297","18","352210","47410","288626","3357","360159"
"SFO","San Francisco International","37.61900194","-122.3748433","140587","33393","23","673902","46930","334335","1295","995242"
"SGF","Springfield-Branson Regional","37.24432611","-93.38685806","10087","2057","20","64334","14130","55463","51","35354"
"SGU","St George Muni","37.09058333","-113.5930556","3319","249","7","4670","964","1693","39","5639"
"SHV","Shreveport Regional","32.4466275","-93.82559833","8079","1362","16","22795","8824","20850","122","32910"
"SIT","Sitka","57.04713806","-135.3615983","1332","238","17","4017","1552","1616","55","8854"
"SJC","San Jose International","37.36186194","-121.9290089","57136","7701","13","90557","9960","63189","955","237569"
"SJT","San Angelo Regional /Mathis ","31.35775","-100.4963056","1316","165","12","1587","1268","1183","0","5275"
"SJU","Luis Munoz Marin International","18.43941667","-66.00183333","21676","4993","23","114330","1072","63593","292","139325"
"SLC","Salt Lake City Intl","40.78838778","-111.9777731","139088","20824","14","367629","74399","269409","2562","348955"
"SLE","McNary Fld","44.90952778","-123.0025","486","22","4","905","0","16","20","689"
"SMF","Sacramento International","38.69542167","-121.5907669","53056","8025","15","98408","8221","72506","344","235818"
"SMX","Santa Maria Pub/Capt G Allan Hancock ","34.89924833","-120.4575825","1681","158","9","3525","50","1318","54","3804"
"SNA","John Wayne /Orange Co","33.67565861","-117.8682225","47376","7205","15","70585","7597","120792","775","183318"
"SPI","Capital","39.84395194","-89.67761861","1225","333","27","6700","251","16543","80","8194"
"SPS","Sheppard AFB/Wichita Falls Municipal","33.98879611","-98.49189333","1834","207","11","3043","1946","1494","0","6640"
"SRQ","Sarasota Bradenton International","27.39533333","-82.55411111","6432","1339","20","17129","5193","32506","0","31814"
"STL","Lambert-St Louis International","38.74768694","-90.35998972","62733","12409","19","130535","38579","222469","619","317618"
"STT","Cyril E. King","18.33730556","-64.97336111","2972","677","22","11281","428","9471","39","17943"
"STX","Henry E. Rohlsen ","17.70188889","-64.79855556","436","134","30","1168","174","1311","12","4425"
"SUN","Friedman Memorial","43.50484139","-114.2965903","2871","217","7","3780","2234","1594","32","4106"
"SUX","Sioux Gateway ","42.40260333","-96.38436694","122","19","15","118","155","187","0","681"
"SWF","Stewart","41.50409361","-74.10483833","4249","837","19","18347","3445","17517","0","11564"
"SYR","Syracuse-Hancock Intl","43.11118694","-76.10631056","12032","2983","24","49077","7873","86526","262","57458"
"TEX","Telluride Regional","37.95375861","-107.90848","194","56","28","2271","103","1003","0","0"
